Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Temporadas;Capitulos
Mildred Pierce;2011 - 2011;Basada en la novela homónima de James M. Cain y ambientada en la época de la Gran Depresión. Narra la historia de una madre soltera dispuesta a todo con tal de ganarse el amor de su hija.;https://image.tmdb.org/t/p/original/eZ7TUocetldADAXZfnMSEVl7SbJ.jpg;Drama;6.998;1;5
Mind Over Murder;2022 - 2022;Narra la extraña y psicológicamente compleja historia de seis personas que fueron condenadas por el asesinato en 1985 de una querida abuela de 68 años, Helen Wilson, en Beatrice, Nebraska.;https://image.tmdb.org/t/p/original/oZoXVoWEbvuuOOWPwgNRUpsYyhM.jpg;Documental, Crimen;6.8;1;6
MINDHUNTER;2017 - 2019;Un agente del FBI, experto en asesinos en serie, inventa técnicas de creación de perfiles mientras persigue a violadores y asesinos famosos.;https://image.tmdb.org/t/p/original/eg2eepJtJeRtCZEUJvIYyb2PnYD.jpg;Drama, Crimen;8.121;2;19
Mira lo que has hecho;2018 - 2020;"Berto y Sandra son una pareja que afronta la aventura de ser padres con la llegada de su primer hijo, Lucas. Una nueva vida que viene sin manual de instrucciones. Él es cómico y presentador de televisión de éxito. Ella es médico anestesista por tradición familiar. Juntos deberán conciliar esta nueva situación en la que su familia, amigos e incluso el mundo, no se lo pondrán fácil.  Una comedia romántica en la que el ""chico conoce chica"" se convierte en ""chica y chico conocen bebé"". Basada en experiencias propias y prestadas de Berto Romero, explica lo que casi nadie se atreve a decir: la locura y lo difícil que es ser padres. Una serie irónica, cercana, auténtica y con momentos dramáticos.";https://image.tmdb.org/t/p/original/2FSJNv8YN0gb1go74UEx4nJFB2h.jpg;Comedia, Familia;6.488;3;18
Misfits;2009 - 2013;Misfits es una serie británica que mezcla ciencia ficción, humor y drama. Trata sobre un grupo de jóvenes con comportamientos antisociales obligados a trabajar en un programa de servicios a la comunidad (community payback). Durante el servicio, una extraña tormenta les dotará de superpoderes que se irán desvelando a lo largo de la serie.;https://image.tmdb.org/t/p/original/pkGPHO7WxViedkOm6Xy1aWSS36l.jpg;Sci-Fi & Fantasy, Drama, Comedia;7.602;5;37
Te echo de menos;2025 - 2025;Cuando la detective Kat Donovan encuentra a su exnovio desaparecido en una aplicación de citas, descubre que algunos secretos es mejor dejarlos enterrados.;https://image.tmdb.org/t/p/original/hstveoYFhEibMrHxnxfLhnlj3Sx.jpg;Drama, Crimen, Misterio;6.116;1;5
Tierra de mafiosos;2025 - 2025;"El poder está en juego cuando los Harrigan y los Stevenson, dos familias criminales londinenses en guerra, se enfrentan en una batalla de matar o morir que amenaza con derribar imperios y arruinar vidas. Atrapado en el fuego cruzado está Harry Da Souza, el astuto ""solucionador"" tan peligroso como atractivo, que sabe muy bien dónde están las lealtades cuando las fuerzas opuestas chocan. A medida que los reinos se enfrentan, se cruzarán las líneas, y la única gracia salvadora es una garantía de vida o muerte: la familia por encima de todo.";https://image.tmdb.org/t/p/original/xOBnonAeHiZuiTPOLBFMFSPI6jy.jpg;Crimen, Drama;8.32;1;10
Mocro Maffia;2018 - 2024;Los mejores amigos Romano, Potlood y De Paus ascienden en el rango del mundo criminal. Antes de que se den cuenta, dirigen todo el mercado de coque de Ámsterdam. A causa de los celos, su relación se complica y acaba siendo hostil.;https://image.tmdb.org/t/p/original/iM6tRt7VQ6p6yqnpBkwb8zZmprC.jpg;Crimen, Action & Adventure;7.9;6;45
Modern Family;2009 - 2020;Narrada desde la perspectiva de un documental, la serie ofrece un panorama honesto y divertido sobre la vida de varias familias, en donde se presentan la relación entre padres e hijos, diferencias generacionales y culturales.;https://image.tmdb.org/t/p/original/gabjqvbqXsg4KL5JaBoPKPipiys.jpg;Comedia;7.909;11;250
Modus;2015 - 2017;Durante una nevada Navidad en Suecia, la psicóloga Inger Johanne Vik se encuentra, no solamente ella sino también su hija autista, arrastradas a la investigación de una serie de muertes inquietantes, a través de las cuales se encuentra con el detective Ingvar Nymann de la Policía de Estocolmo. Nymann es enviado a Uppsala para investigar el impactante asesinato, en la víspera de Navidad, de la Obispo Elisabeth Lindgren. En Estocolmo, los cuerpos siguen apareciendo, aunque varían las causas de las muertes. Pero al poco tiempo, Inger Johanne empieza a notar un patrón.;https://image.tmdb.org/t/p/original/egIu3O7hDG2ErPOKMIUdNuQrZxs.jpg;Crimen;6.25;2;16
Monarch: El legado de los monstruos;2023 - 2026;Tras sobrevivir al ataque de Godzilla en San Francisco, un espeluznante secreto vuelve a sobrecoger a Cate. En medio de amenazas monstruosas, se embarca en una aventura por todo el mundo para descubrir la verdad sobre su familia y la misteriosa organización conocida como Monarca.;https://image.tmdb.org/t/p/original/ufFSOyMYcuPhZpVs1obeYIzcnYY.jpg;Sci-Fi & Fantasy, Drama, Action & Adventure;7.758;2;20
La casa de papel: Corea;2022 - 2022;La historia arrancará en una época donde Corea del Norte y del Sur se reunifican. En ese contexto, el Profesor reúne a talentosos ladrones de ambos lados para concretar un robo a la recién acuñada moneda para la futura nación coreana.;https://image.tmdb.org/t/p/original/9c9aT9WDEG0UhNlL7yWP9yM7qiT.jpg;Action & Adventure, Crimen, Drama, Misterio;7.715;1;12
Monstruo: La historia de Ed Gein;2025 - 2025;La impactante historia real de Ed Gein, el infame asesino y profanador de tumbas que sirvió de inspiración para numerosas películas emblemáticas de Hollywood sobre asesinos.;https://image.tmdb.org/t/p/original/1v9X7qviwTllikhIZdVAjRmDQtL.jpg;Crimen, Drama;7.245;1;8
Monstruos: La historia de Lyle y Erik Menendez;2024 - 2024;Este estremecedor drama de crímenes reales investiga la vida de los hermanos Menendez, condenados por el brutal asesinato de sus padres en Beverly Hills en 1989.;https://image.tmdb.org/t/p/original/8c2NHqgQ6dLuK3mji2Js2pilxQu.jpg;Drama, Crimen;7.615;1;9
