Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion;Duracion_min;URL_Externa
Ballerina [2023][1080p][3.80 Gb];Ballerina;TMDB;2023;;https://image.tmdb.org/t/p/original/7lHAZzc3N4n4zPhhSfkTALi2eXu.jpg;;7.0;2;https://www.themoviedb.org/movie/1451663
Bambi Una vida en el bosque [2024][1080p][3.43 Gb];Bambi, una vida en el bosque;TMDB;2024;Adaptación del libro “Bambi, la historia de una vida en el bosque” de Felix Salten, la película cuenta las aventuras de un joven cervatillo, rodeado de su madre y de los animales del bosque: su amigo el cuervo, el conejo, el mapache... Descubre el mundo de los árboles y sus secretos. Cada día, su madre lo educa para que pueda crecer fuerte. Pero cuando llega el otoño, Bambi se aventura a la intemperie cuando los cazadores lo separan para siempre de su madre.;https://image.tmdb.org/t/p/original/fvtIXQH4JcifptPe0J9GfLDIOAQ.jpg;Documental, Familia, Aventura;6.447;78;https://www.themoviedb.org/movie/1094473
Bandit [2022][1080p][1.71 Gb];El atracador perfecto;TMDB;2022;Basada en la historia real de Gilbert Galvan, un carismático y atrevido ladrón que fue conocido por sus más de 63 atracos a bancos y joyerías. Gilbert (Josh Duhamel), un expresidiario fugado de Estados Unidos bajo el alias Robert Whiteman, se enamora en Canadá de una mujer a la que no puede mantener, por lo que decide empezar a cometer a atracos. A medida que se vuelve adicto a la adrenalina, la peligrosidad de sus robos aumenta, especialmente cuando se alía con Tommy Key (Mel Gibson), un famoso gangster que le convencerá para cometer los mayores atracos de la historia. La creciente notoriedad de los robos llama la atención del Detective Syndes, lo que dará pie a un juego del gato y el ratón en el que intentarán burlarse entre sí en una vibrante persecución.;https://image.tmdb.org/t/p/original/6ByGtLdfznHrs3DkZMYFZKrlmfv.jpg;Crimen, Drama, Suspense;6.302;126;https://www.themoviedb.org/movie/842942
Bangkok Dangerous [2008][720p][830 Mb];Peligro en Bangkok;TMDB;2008;"Remake de la exitosa película tailandesa ""Bangkok Dangerous"" de 1999. Joe, un asesino profesional recibe un encargo en Bangkok para acabar con cuatro objetivos, pagado por un gagser local. Para que lo ayude, recluta a Kong, un ladronzuelo al que planea matar al terminar el trabajo, para no dejar ningún rastro. Pero las cosas se complican. Joe se enamora de una joven sordomuda y deja que la simpatía de Kong perfore su coraza. Cuando el hombre que lo contrató se vuelve contra él y captura a su nuevo amigo, Joe reccionará con toda la violencia de la que es capaz.";https://image.tmdb.org/t/p/original/k9A5EpvxuGVFQcGxvmtlKtQw4Rn.jpg;Acción, Crimen, Suspense;5.296;99;https://www.themoviedb.org/movie/13184
Barbarian [2022][1080p][2.23 Gb];Barbarian;TMDB;2022;Una joven que viaja a Detroit para una entrevista de trabajo alquila una casa para pasar la noche. Pero cuando llega a altas horas de la noche, descubre que la casa está doblemente reservada y que un hombre extraño ya se está quedando allí. En contra de su buen juicio, decide pasar la noche allí, pero pronto descubre que hay mucho más que temer que un invitado inesperado.;https://image.tmdb.org/t/p/original/1YyGqOsEkWjdkBMeUrxhtiLRvlD.jpg;Terror, Misterio;6.852;103;https://www.themoviedb.org/movie/913290
Barbie [2023][1080p][3.40 Gb];Barbie;TMDB;2023;Barbie vive en Barbieland donde todo es ideal y lleno de música y color. Un buen día decide conocer el mundo real. Cuando el CEO de Mattel se entere, tratará de evitarlo a toda costa y devolver a Barbie a una caja.;https://image.tmdb.org/t/p/original/fNtqD4BTFj0Bgo9lyoAtmNFzxHN.jpg;Comedia, Aventura, Fantasía;6.9;114;https://www.themoviedb.org/movie/346698
Barry Lyndon [1975][1080p][2.58 Gb];Barry Lyndon;TMDB;1975;Siglo XVIII. El joven Redmond Barry, huérfano de padre, se ha enamorado de su prima, a la que también pretende el Capitán John Quin. El asunto se resuelve por medio de un duelo, del que Redmond resulta vencedor. A continuación se va a Dublín y decide alistarse en el ejército inglés, donde empieza a desarrollar sus extraordinarias habilidades para sobrevivir. Estando en Alemania, se le presenta la posibilidad de desertar, pero es capturado por el Capitán Potzdorf, un oficial prusiano que le ofrece la posibilidad de unirse a sus tropas o ser colgado por desertor. Una vez en el ejército prusiano, tiene la fortuna de salvarle la vida a Potzdorf, lo que le abre las puertas del servicio secreto prusiano.;https://image.tmdb.org/t/p/original/x28u4tvapVCPaVWHyvrEyLZWyk8.jpg;Drama, Romance, Bélica, Historia;7.994;188;https://www.themoviedb.org/movie/3175
Basic [2003][720p][837 Mb];Basic;TMDB;2003;Canal de Panama. 1 de Noviembre. 18:00 horas. Un huracán golpea con fuerza una base del ejército norteamericano y alrededores. Un equipo de Rangers, un cuerpo de élite de operaciones encubiertas, a las órdenes del temible sargento Nathan West (Samuel L. Jackson) se despliega en la jungla en lo que parecen unas simples maniobras. 17 horas después, el sargento y varios miembros de su equipo han desaparecido. Dos soldados son rescatados del lugar de los hechos y cada uno tiene una versión distinta de lo sucedido. El ejército convoca al brillante e indisciplinado interrogador Tom Hardy (John Travolta) para descubrir la verdad. Todo parece indicar que no se trataba de una simple misión de entrenamiento...;https://image.tmdb.org/t/p/original/5yk0f45lv7TqLd3qSgaNNiPX7js.jpg;Acción, Suspense, Crimen;6.501;98;https://www.themoviedb.org/movie/10782
Basic Instinct [1992][1080p][3 Gb];Instinto básico;TMDB;1992;Un antiguo cantante de rock ha sido brutalmente asesinado. La última vez que se le vio estaba acompañado por su novia. En la comisaría, en el departamento de Asuntos Internos, Nick Curran recibe el encargo de vigilar a Catherine Tromell, la supuesta novia asesina.;https://image.tmdb.org/t/p/original/7iUhPh6B5C4T1osYDzoUchjb3i4.jpg;Suspense, Misterio;6.947;130;https://www.themoviedb.org/movie/402
Bastille Day [2016][1080p][1.40 Gb];Asalto en París;TMDB;2016;Michael Mason es un carterista estadounidense que vive en París que de repente se encuentra en manos de la CIA al robar un bolso que contiene algo más que una cartera. Sean Briar, el agente del caso, pronto se da cuenta de que Michael es sólo un peón dentro de una gran conspiración criminal. Briar decide entonces reclutar a Michael para que le ayude a desenmascarar y luchar contra esa red de corrupción.;https://image.tmdb.org/t/p/original/4bxUZxA2NdkjKGYcLwS03BgguOO.jpg;Acción;6.322;92;https://www.themoviedb.org/movie/333669
Batman - The Dark Knight [2008][1080p][3.97 Gb];Batman Unmasked;TMDB;2008;Documental del Canal Historia en el que, a través de viñetas de cómics e imágenes de las películas de Christopher Nolan, se explica la psicología del personaje creado por Bob Kane: cómo Batman, un joven atormentado por la tragedia, se convierte en un símbolo de esperanza para los demás.;https://image.tmdb.org/t/p/original/e15wNHmLX7PJUo8lqzQRhwbX7PL.jpg;Documental;7.463;45;https://www.themoviedb.org/movie/29751
